State;Population
California;39,431,263
Texas;31,290,831
Florida;23,372,215
New York;19,867,248
Pennsylvania;13,078,751
Illinois;12,710,158
Ohio;11,883,304
Georgia;11,180,878
North Carolina;11,046,024
Michigan;10,140,459
New Jersey;9,500,851
Virginia;8,811,195
Washington;7,958,180
Arizona;7,582,384
Tennessee;7,227,750
Massachusetts;7,136,171
Indiana;6,924,275
Maryland;6,263,220
Missouri;6,245,466
Wisconsin;5,960,975
Colorado;5,957,493
Minnesota;5,793,151
South Carolina;5,478,831
Alabama;5,157,699
Louisiana;4,597,740
Kentucky;4,588,372
Oregon;4,272,371
Oklahoma;4,095,393
Connecticut;3,675,069
Utah;3,503,613
Nevada;3,267,467
Iowa;3,241,488
Arkansas;3,088,354
Kansas;2,970,606
Mississippi;2,943,045
New Mexico;2,130,256
Nebraska;2,005,465
Idaho;2,001,619
West Virginia;1,769,979
Hawaii;1,446,146
New Hampshire;1,409,032
Maine;1,405,012
Montana;1,137,233
Rhode Island;1,112,308
Delaware;1,051,917
South Dakota;924,669
North Dakota;796,568
Alaska;740,133
District of Columbia;702,25
Vermont;648,493
Wyoming;587,618
